Branch,Month,Year,Total
Conut,August,2025,554
Conut,September,2025,784
Conut,October,2025,1
Conut,November,2025,1
Conut,December,2025,67
Conut - Tyre,August,2025,477
Conut - Tyre,September,2025,444
Conut - Tyre,October,2025,2
Conut - Tyre,November,2025,1
Conut - Tyre,December,2025,1
Conut Jnah,August,2025,363
Conut Jnah,September,2025,714
Conut Jnah,October,2025,785
Conut Jnah,November,2025,947
Conut Jnah,December,2025,2
Main Street Coffee,September,2025,145
Main Street Coffee,October,2025,920
Main Street Coffee,November,2025,1
Main Street Coffee,December,2025,3
